contract_address,chain_id,token_id,to_address,from_address,transaction_hash,block_timestamp,block_number,amount,is_mint,token_type,log_index,purchase_price
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,288,0x01b4fae0b350af95d1bd8fb1341d9dce1a87a453,0x6632b50b00e16bc9807d6173142d950819b93fef,0x68fea916c03f6b7c16b8dc81ebf242ff5f397daac24577ce11e2265c0ea54aea,1664400227000,15634501,1,FALSE,ERC721,154,0.1
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,117,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,141,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,118,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,138,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,258,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,135,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,119,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,137,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,115,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,140,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,257,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,136,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,259,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,134,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,114,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,139,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,327,0xc37e67148ed61006074554ed00691f5183206020,0x022e73a40f6a719bdde859620c1191fa3554be1d,0x598ef6de4f8c3a56926a134edfd4095256fb310a9d114d7497df31ed4a72b7bb,1667747759000,15911811,1,FALSE,ERC721,133,0
